Country,Datetime,Tweet Id,Text,Username,Tweets_clean,VADER_class,VADER_score
Mexico,2022-12-01 01:46:15+00:00,1598131330642247680,@TheStrikerNews @miseleccionmx @FIFAWorldCup @fifaworldcup_es The 1 and only reason I don't like the Mexico team.  Retire?... I'm just saying,DavidMatthys6,the 1 and only reason i dont like team retire just saying,Neutral,-0.2755
Mexico,2022-12-01 01:44:58+00:00,1598131007601127424,"I was desperately waiting  to see this Saudi team eliminated. Just a bad day at the office and these 
M/F's are searching where's Messi. Messi is everywhere. Now you can see. 
Some asked Mexico to kick Messi out of the World Cup but Mexico kicked them out. #Messi #FIFAWorldCup https://t.co/BKD92FlJjp",NilandikaTenu,i was desperately waiting to see this team just a bad day at the office and these are searching is everywhere now you can some kick out of world cup but them,Neutral,-0.4678
Mexico,2022-12-01 01:39:26+00:00,1598129612575625216,"Argentina and Poland have qualified for Round of 16 of FIFA WORLD CUP, while Saudi Arabia and Mexico are eliminated
#ARG #POL #MEX #KSA #Qatar2022 #FIFAWorldCup",HassanEmpire007,and have qualified for round of 16 world cup while are pol qatar2022,Neutral,0.0
Mexico,2022-12-01 01:35:14+00:00,1598128557838008322,"Herculez Gomez, Sebastian Salazar and Ale Moreno explain what led to Tata Martino and Mexico's departure from the #WorldCup #FIFAWorldCup #Qatar2022.
Read full Story here -  https://t.co/MXl4MyJZZS
#FIFAWorld #Europe #football #soccer",1FootballStats,and ale explain what led to departure from the qatar2022 read full story here football soccer,Neutral,0.0
Mexico,2022-12-01 01:30:27+00:00,1598127351837380608,"This was a night of determination, drive but ultimately despair for Mexico. They were in a reach out and touch it distance but in the end they've been foiled by arithmetic. - Peter Drury.
#FIFAWorldCup  #MexicovsSaudiArabia",mycallcrystalfa,this was a night of determination drive but ultimately despair for they were in reach out and touch it distance the end been by arithmetic peter,Neutral,-0.2382
Mexico,2022-12-01 01:22:03+00:00,1598125238293667841,"So, Argentina defeated Poland 2-0 and qualified for the Round of 16.

Poland go through to Round of 16 over Mexico by Goal Difference. Heartbreak for Mexico. 

#FIFAWorldCup",TwitFootballin,so 20 and qualified for the round of 16 go through to over by goal difference heartbreak,Negative,-0.5719
Mexico,2022-12-01 01:15:08+00:00,1598123496865165312,@FIFAWorldCup @Qatar2022Fans Damn you break the rule 🤦🏻‍♂️ and I don’t trust you ! Mexico national football can go World Cup but you need to accept that ! Mexico is already angry to World Cup that REAL sad for World Cup Qatar 🤦🏻‍♂️.. World Cup Qatar should be shame 💯 …,LuisEnr97263044,qatar2022fans damn you break the rule 🤦🏻‍♂️ and i don ’ t trust national football can go world cup but need to accept that is already angry real sad for should be shame 💯 …,Negative,-0.8765
Mexico,2022-12-01 01:14:26+00:00,1598123321539055616,Saudi Arabia broke Argentina's record by not winning 36 consecutive games and prevented Mexico from qualifying for the 16 group stage for the first time in 44 years! #FIFAWorldCup,baby_girl10_,broke record by not winning 36 consecutive and from for the 16 group stage first time in 44,Negative,-0.6784
Mexico,2022-12-01 01:09:14+00:00,1598122014895579136,@mu_saud @FIFAWorldCup if mexico got a second chance they would also play better against Poland and Argentina.,Boostedsn95x,if got a second chance they would also play better against and,Positive,0.743
Mexico,2022-12-01 01:06:41+00:00,1598121372148191234,"POLAND  - 0-2  ARGENTINA -  MEXICO ARE OUT FROM GROUP LEAGUE AS BOTH ARGENTINA AND POLAND MOVES TO KNOCK-OUT          https://t.co/0U4HnoqM0y
PIC: FIFA
#FIFAWorldCup #Qatar2022 https://t.co/CB7tCBZxOm",Kol_Football,02 are out from group league as both and to knockout pic qatar2022,Neutral,0.0
Mexico,2022-12-01 01:02:23+00:00,1598120288855605248,"So, Mexico is out, which is not fair, to be honest. I'd prefer them in the next round. Poland is playing awful football. Just awful. Argentina destroyed Poland like they were playing against some 5th division club...
Oh, and Messi missing a penalty AGAIN😂
Come on. #FIFAWorldCup",HrayrDallakyan,so is out which not fair to be honest id prefer them in the next round awful football just like they were against some 5th division club oh and missing a penalty again 😂 come on,Neutral,-0.1184
Mexico,2022-12-01 00:55:07+00:00,1598118460051296258,Though both #Mexico and #SaudiArabia are out of the tournament but it was a heck of a match and this was an absolute beauty by #Chavez. #FIFAWorldCup #MexicovsSaudiArabia https://t.co/AkhPGr3ijR,sfaridali,though both and are out of the tournament but it was a heck match this an absolute beauty by,Positive,0.7351
